CPU,NUMERO_ITERACION,LATENCIA
0,0,12938
0,1,13624
0,2,11068
0,3,14235
0,4,13271
0,5,14679
0,6,11716
0,7,12772
0,8,11864
0,9,12679
0,10,13069
0,11,13772
0,12,12049
0,13,14994
0,14,16587
0,15,16605
0,16,18735
0,17,14143
0,18,31661
0,19,17439
0,20,13735
0,21,11717
0,22,16142
0,23,12624
0,24,14217
0,25,20790
0,26,12327
0,27,11383
0,28,14143
0,29,10105
0,30,10142
0,31,11161
0,32,10994
0,33,12124
0,34,10883
0,35,11272
0,36,9976
0,37,12050
0,38,10142
0,39,14902
0,40,17735
0,41,11457
0,42,11309
0,43,10605
0,44,10346
0,45,9901
0,46,10642
0,47,12401
0,48,11272
0,49,10198
0,50,10013
0,51,10494
0,52,10383
0,53,10439
0,54,9772
0,55,9253
0,56,10050
0,57,29198
0,58,18772
0,59,13624
0,60,12217
0,61,18401
0,62,36290
0,63,17476
0,64,15920
0,65,23013
0,66,27901
0,67,18309
0,68,13883
0,69,14495
0,70,14457
0,71,27235
0,72,13568
0,73,16142
0,74,27568
0,75,20698
0,76,14032
0,77,12717
0,78,13364
0,79,13290
0,80,13291
0,81,12976
0,82,12235
0,83,13957
0,84,14735
0,85,13883
0,86,25309
0,87,30179
0,88,20827
0,89,15253
0,90,20735
0,91,15642
0,92,12883
0,93,12049
0,94,11809
0,95,10939
0,96,15587
0,97,13606
0,98,14957
0,99,18697
0,100,14476
0,101,16050
0,102,16957
0,103,22531
0,104,18865
0,105,17142
0,106,14754
0,107,15716
0,108,23475
0,109,24920
0,110,18346
0,111,21735
0,112,20272
0,113,16716
0,114,22568
0,115,17549
0,116,14754
0,117,23105
0,118,40050
0,119,24124
0,120,15846
0,121,11087
0,122,13198
0,123,12717
0,124,11735
0,125,13420
0,126,14994
0,127,25902
0,128,17272
0,129,29328
0,130,18846
0,131,12864
0,132,15494
0,133,12975
0,134,12568
0,135,13661
0,136,14809
0,137,13272
0,138,21050
0,139,15198
0,140,11549
0,141,13976
0,142,22217
0,143,41401
0,144,23346
0,145,16920
0,146,12309
0,147,13883
0,148,27123
0,149,40994
0,150,23087
0,151,15475
0,152,13753
0,153,18605
0,154,16328
0,155,13660
0,156,13883
0,157,16532
0,158,14643
0,159,15902
0,160,41013
0,161,17642
0,162,12679
0,163,11698
0,164,11939
0,165,14142
0,166,13439
0,167,14476
0,168,12958
0,169,21179
0,170,16495
0,171,15809
0,172,12606
0,173,17013
0,174,12976
0,175,13383
0,176,15198
0,177,20994
0,178,22439
0,179,15846
0,180,14365
0,181,14753
0,182,13791
0,183,19013
0,184,20716
0,185,14272
0,186,16457
0,187,16549
0,188,38976
0,189,27512
0,190,17550
0,191,16735
0,192,12087
0,193,10531
0,194,13957
0,195,16161
0,196,12623
