CPU,NUMERO_ITERACION,LATENCIA
0,0,29345
0,1,24901
0,2,24105
0,3,25068
0,4,24160
0,5,23864
0,6,23753
0,7,23457
0,8,23272
0,9,23438
0,10,23568
0,11,23457
0,12,23605
0,13,25197
0,14,23994
0,15,23827
0,16,23550
0,17,23419
0,18,23475
0,19,23419
0,20,23531
0,21,23624
0,22,23994
0,23,23457
0,24,23549
0,25,23494
0,26,23345
0,27,23364
0,28,23401
0,29,23513
0,30,23457
0,31,23346
0,32,24531
0,33,23531
0,34,23438
0,35,23438
0,36,23568
0,37,23679
0,38,24346
0,39,23531
0,40,23624
0,41,23401
0,42,31364
0,43,27994
0,44,27475
0,45,27623
0,46,27476
0,47,27679
0,48,27993
0,49,27438
0,50,27660
0,51,28105
0,52,28031
0,53,27808
0,54,27457
0,55,27586
0,56,27272
0,57,27605
0,58,27697
0,59,27550
0,60,27512
0,61,28271
0,62,27642
0,63,27716
0,64,27660
0,65,27716
0,66,27605
0,67,27605
0,68,27734
0,69,27660
0,70,27531
0,71,28346
0,72,27346
0,73,27550
0,74,27678
0,75,27568
0,76,27623
0,77,27642
0,78,27438
0,79,27604
0,80,27734
0,81,62030
0,82,27883
0,83,27476
0,84,27605
0,85,27790
0,86,27772
0,87,27568
0,88,27753
0,89,27642
0,90,27920
0,91,27679
0,92,27679
0,93,27660
0,94,27624
0,95,27734
0,96,27642
0,97,27661
0,98,27716
0,99,27642
0,100,28123
0,101,27660
0,102,27660
0,103,27604
0,104,27494
0,105,27642
0,106,27697
0,107,27587
0,108,27623
0,109,27679
0,110,28309
0,111,27642
0,112,27493
0,113,27679
0,114,27605
0,115,27679
0,116,27790
0,117,27642
0,118,27568
0,119,28216
0,120,27605
0,121,27679
0,122,27623
0,123,27697
0,124,27605
0,125,27697
0,126,27679
0,127,27660
0,128,27697
0,129,28049
0,130,27753
0,131,27531
0,132,27735
0,133,27753
0,134,27753
0,135,27605
0,136,27679
0,137,27586
0,138,27735
0,139,27809
0,140,27623
0,141,27753
0,142,27679
0,143,27716
0,144,27401
0,145,27587
0,146,27679
0,147,27697
0,148,28049
0,149,27623
0,150,27698
0,151,27512
0,152,27735
0,153,27697
0,154,27642
0,155,27512
0,156,27494
0,157,27586
0,158,28068
0,159,27790
0,160,27623
0,161,27716
0,162,27716
0,163,27734
0,164,27660
0,165,27568
0,166,27567
0,167,27642
0,168,27994
0,169,27679
0,170,27698
0,171,27568
0,172,27772
0,173,27549
0,174,27772
0,175,27642
0,176,27679
0,177,28086
0,178,27698
0,179,27550
0,180,27494
0,181,27641
0,182,27753
0,183,27419
0,184,27846
0,185,27604
0,186,27568
0,187,27883
0,188,27513
0,189,27420
0,190,27605
0,191,27586
0,192,27734
0,193,27679
0,194,27604
0,195,27531
0,196,27883
0,197,27846
0,198,27623
0,199,27660
0,200,27772
0,201,27661
0,202,28161
0,203,27772
0,204,27530
0,205,27550
0,206,31272
0,207,27957
0,208,27679
0,209,27642
0,210,27475
0,211,27364
0,212,27809
0,213,27698
0,214,27661
0,215,27679
0,216,28012
0,217,27734
0,218,27568
0,219,27456
0,220,27827
0,221,27568
0,222,27586
0,223,27716
0,224,27734
0,225,27438
0,226,28197
0,227,27605
0,228,27623
0,229,27698
0,230,27660
0,231,27568
0,232,27660
0,233,27809
0,234,27661
0,235,31179
0,236,27512
0,237,29568
0,238,24161
0,239,23698
0,240,23512
0,241,23623
0,242,23605
0,243,23531
0,244,23568
0,245,24790
0,246,23827
0,247,23679
0,248,23605
0,249,23494
0,250,23605
0,251,23475
0,252,23401
0,253,23549
0,254,23365
0,255,24642
0,256,23661
0,257,23567
0,258,23512
0,259,23642
0,260,23568
0,261,23642
0,262,23642
0,263,23364
0,264,23438
0,265,24382
0,266,23531
0,267,23513
0,268,23660
0,269,23327
0,270,23494
0,271,23660
0,272,23475
0,273,23660
0,274,28550
0,275,27920
0,276,27994
0,277,27512
0,278,27790
0,279,26494
0,280,25883
0,281,25679
0,282,25679
0,283,26160
0,284,25716
0,285,25698
0,286,25605
0,287,25716
0,288,25679
0,289,25772
0,290,25605
0,291,25864
0,292,25919
0,293,26328
0,294,25920
0,295,25735
0,296,25679
0,297,25716
0,298,25864
0,299,25845
0,300,25771
0,301,25772
0,302,26383
0,303,25808
0,304,25994
0,305,25753
0,306,25845
0,307,25846
0,308,25716
0,309,25494
0,310,25642
0,311,25661
0,312,26345
0,313,25642
0,314,25679
0,315,25679
0,316,25734
0,317,25641
0,318,25641
0,319,25697
0,320,25864
0,321,25679
0,322,26271
0,323,25846
0,324,25919
0,325,26013
0,326,26068
0,327,26161
0,328,26105
0,329,26197
0,330,25771
0,331,26401
0,332,25734
0,333,25735
0,334,25809
0,335,25808
0,336,25735
0,337,25641
0,338,25679
0,339,25809
0,340,25734
0,341,26234
0,342,25771
0,343,25771
0,344,25735
0,345,25753
0,346,25735
0,347,25883
0,348,25957
0,349,26105
0,350,26086
0,351,26586
0,352,26012
0,353,26012
0,354,26049
0,355,25957
0,356,25901
0,357,26105
